Well Name,API,Route,Company,Status
MAX 30-3H,35043232740000,N 114,Presidio,Active
MCABEE #1-19H,35009218590000,E 313,Presidio,Active
MCADAMS #1-27,35149208540000,E 315,Presidio,Active
MCCARTOR #1-97,42357308700000,N 103,Presidio,Active
SWINK 119-1H,42357329290000,N 103,EQV,Active
MCCONNELL #2-34,35039219000000,E 315,Presidio,Active
"MCCONNELL, NELLIE #4-27",35039221490000,E 315,Presidio,Active
MCCOY 1 (13 D2),42393319180000,C 216,Presidio,SI
MCCOY 2 (13 A2),42393320200000,C 216,Presidio,SI
MCCOY 27-1,42483315850001,C 210,Presidio,SI
MCCOY 27-10H,42483328170000,C 210,Presidio,SI
MCCOY 27-11H,42483329960000,C 210,Presidio,Active
MCCOY 27-12H,42483333380000,C 210,Presidio,Active
MCCOY 27-2,42483321940000,C 210,Presidio,Active
MCCOY 27-3,42483321950000,C 210,Presidio,Active
MCCOY 27-4,42483324360000,C 210,Presidio,Active
MCCOY 27-5,42483326250000,C 210,Presidio,Active
MCCOY 27-7H,42483326970000,C 210,Presidio,Active
MCCOY 27-8H,42483327930000,C 210,Presidio,Active
MCCOY 27-9,42483328150000,C 210,Presidio,SI
MCCOY 3 (13 C1),42393321370000,C 216,Presidio,SI
MCCOY 4 CA,42393321890000,C 216,Presidio,SI
MCCOY 5,42393323100000,C 216,Presidio,SI
"MCCOY, BOB B 1",42393301060000,C 216,Presidio,SI
"MCCOY, BOB -C- #2-34",42393315370000,C 216,Presidio,Active
MCCRACKEN #3-16H,35129238290000,E 305,Presidio,Active
MCCRACKEN 1-16H REDRILL BH,35129234940000,E 305,Presidio,Active
MCCRACKEN 1-17H,35129234130000,E 305,Presidio,Active
MCCRACKEN 20-16-22 1H,35129239290000,E 305,Presidio,Active
MCCRACKEN 2-17H,35129239271000,E 305,Presidio,Active
MCGARRAUGH #1-154,42393313590000,N 103,Presidio,SI
MCGARRAUGH 1-204,42295009910001,N 102,Presidio,SI
MCGARRAUGH 154 #2H,42393324290000,N 103,Presidio,SI
MCGARRAUGH 154 #4H,42393325010000,N 103,Presidio,SI
MCGARRAUGH 1H-35,35129239360000,E 307,Presidio,Active
MCGARRAUGH EDWARDS A 140 #7H,42357333490000,N 103,Presidio,SI
MCGARRAUGH EDWARDS A 140 #9H,42357333510000,N 103,Presidio,SI
MCGARRAUGH ET AL /G/ #2-138,42357304310000,N 103,Presidio,SI
MCGARRAUGH ET AL /G/ #3-138,42357304320000,N 103,Presidio,SI
MCGARRAUGH ET AL /G/ #4-138,42357317970000,N 103,Presidio,Active
MCGARRAUGH ET AL /G/ #5-138,42357318420000,N 103,Presidio,SI
MCGARRAUGH -G- #7H-138,42357329730000,N 103,Presidio,Active
MCGARRAUGH G ET AL 138 #9H,42357333410000,N 103,Presidio,Active
MCGARRAUGH-EDWARDS /A/ #3-140,42357313710000,N 103,Presidio,Active
MCGARRAUGH-EDWARDS /A/ #4-140,42357314040000,N 103,Presidio,Active
MCGARRAUGH-EDWARDS /A/ #5-140,42357314090000,N 103,Presidio,Active
MCGARRAUGH-EDWARDS /A/ #6-140,42357314490000,N 103,Presidio,Active
MCINTYRE #1-14HC,35129235080000,E 305,Presidio,Active
MCKEAN 1H-22,35129239120000,C 205,Presidio,Active
MCKEAN 3H-22,35129240480000,C 205,Presidio,Active
MCLAIN #3-98,42357327380000,N 103,Presidio,Active
